ID,BoutNumber,Start_Date,Start_Time,End_Date,End_Time,Duration
15,33,11/19/2018,23:14:00,11/20/2018,06:35:00,441
15,34,11/20/2018,23:43:00,11/21/2018,06:49:00,426
15,35,11/22/2018,00:13:00,11/22/2018,03:27:00,194
15,36,11/22/2018,22:36:00,11/23/2018,09:03:00,627
15,37,11/23/2018,22:10:00,11/24/2018,07:23:00,553
15,38,11/24/2018,23:08:00,11/25/2018,07:17:00,489
15,39,11/26/2018,00:53:00,11/26/2018,06:44:00,351
15,40,11/27/2018,22:27:00,11/28/2018,06:51:00,504
15,41,11/28/2018,21:16:00,11/29/2018,05:21:00,485
15,42,11/30/2018,22:14:00,12/1/2018,08:09:00,595
15,43,12/1/2018,22:56:00,12/2/2018,09:10:00,614
15,44,12/2/2018,22:45:00,12/3/2018,09:38:00,653
15,45,12/3/2018,22:20:00,12/4/2018,07:08:00,528
15,46,12/5/2018,00:00:00,12/5/2018,06:47:00,407
15,47,12/6/2018,01:18:00,12/6/2018,06:59:00,341
15,48,12/6/2018,22:30:00,12/7/2018,07:40:00,550
15,49,12/7/2018,22:43:00,12/8/2018,08:28:00,585
15,50,12/8/2018,22:31:00,12/9/2018,07:52:00,561
15,51,12/9/2018,22:40:00,12/10/2018,08:00:00,560
15,52,12/10/2018,23:07:00,12/11/2018,06:44:00,457
15,53,12/12/2018,00:27:00,12/12/2018,06:39:00,372
15,54,12/12/2018,22:52:00,12/13/2018,05:44:00,412
15,55,12/13/2018,21:43:00,12/14/2018,06:51:00,548
15,56,12/14/2018,23:51:00,12/15/2018,08:26:00,515
15,57,12/15/2018,23:32:00,12/16/2018,08:02:00,510
15,58,12/17/2018,00:35:00,12/17/2018,07:55:00,440
15,59,12/18/2018,05:40:00,12/18/2018,08:24:00,164
15,60,12/19/2018,05:05:00,12/19/2018,09:05:00,240
18,1,10/31/2018,01:05:00,10/31/2018,06:28:00,323
18,2,10/31/2018,22:21:00,11/1/2018,08:12:00,591
18,3,11/1/2018,23:28:00,11/2/2018,08:54:00,566
18,4,11/3/2018,00:03:00,11/3/2018,08:20:00,497
18,5,11/3/2018,22:59:00,11/4/2018,08:48:00,589
18,6,11/5/2018,00:04:00,11/5/2018,07:59:00,475
18,7,11/5/2018,22:52:00,11/6/2018,06:52:00,480
18,8,11/6/2018,22:24:00,11/7/2018,08:03:00,579
18,9,11/8/2018,00:38:00,11/8/2018,06:21:00,343
18,10,11/8/2018,23:33:00,11/9/2018,06:53:00,440
18,11,11/9/2018,23:17:00,11/10/2018,08:40:00,563
18,12,11/10/2018,23:51:00,11/11/2018,07:53:00,482
18,13,11/12/2018,00:05:00,11/12/2018,06:40:00,395
18,14,11/12/2018,23:54:00,11/13/2018,07:56:00,482
18,15,11/13/2018,22:52:00,11/14/2018,09:08:00,616
18,16,11/14/2018,21:57:00,11/15/2018,07:02:00,545
18,17,11/15/2018,23:39:00,11/16/2018,07:29:00,470
18,18,11/16/2018,23:11:00,11/17/2018,06:32:00,441
18,19,11/18/2018,00:32:00,11/18/2018,07:16:00,404
18,20,11/18/2018,23:14:00,11/19/2018,07:42:00,508
18,21,11/19/2018,23:15:00,11/20/2018,06:50:00,455
18,22,11/20/2018,23:59:00,11/21/2018,06:46:00,407
18,23,11/21/2018,23:34:00,11/22/2018,07:52:00,498
18,24,11/23/2018,00:01:00,11/23/2018,09:20:00,559
18,25,11/23/2018,23:41:00,11/24/2018,09:01:00,560
18,26,11/25/2018,00:43:00,11/25/2018,05:50:00,307
18,27,11/26/2018,00:06:00,11/26/2018,05:28:00,322
18,28,11/26/2018,21:54:00,11/27/2018,07:46:00,592
18,29,11/27/2018,21:34:00,11/28/2018,07:34:00,600
18,30,11/28/2018,22:35:00,11/29/2018,07:17:00,522
18,31,11/30/2018,22:16:00,12/1/2018,08:07:00,591
18,32,12/1/2018,22:41:00,12/2/2018,08:15:00,574
18,33,12/2/2018,21:48:00,12/3/2018,07:29:00,581
18,34,12/4/2018,00:00:00,12/4/2018,08:02:00,482
18,35,12/5/2018,00:18:00,12/5/2018,08:01:00,463
18,36,12/6/2018,00:12:00,12/6/2018,07:23:00,431
18,37,12/6/2018,23:03:00,12/7/2018,08:30:00,567
18,38,12/8/2018,00:09:00,12/8/2018,08:00:00,471
18,39,12/9/2018,00:32:00,12/9/2018,07:14:00,402
18,40,12/9/2018,22:14:00,12/10/2018,06:51:00,517
18,41,12/11/2018,21:51:00,12/12/2018,06:52:00,541
18,42,12/12/2018,22:27:00,12/13/2018,06:19:00,472
18,43,12/13/2018,23:46:00,12/14/2018,06:26:00,400
25,1,10/16/2018,22:05:00,10/17/2018,08:02:00,597
25,2,10/17/2018,22:32:00,10/18/2018,08:13:00,581
25,3,10/19/2018,03:12:00,10/19/2018,09:33:00,381
25,4,10/19/2018,22:29:00,10/20/2018,09:07:00,638
25,5,10/20/2018,22:29:00,10/21/2018,07:21:00,532
25,6,10/21/2018,22:38:00,10/22/2018,06:58:00,500
25,7,10/22/2018,22:55:00,10/23/2018,08:24:00,569
25,8,10/23/2018,22:57:00,10/24/2018,09:14:00,617
25,9,10/24/2018,23:20:00,10/25/2018,06:48:00,448
25,10,10/25/2018,23:04:00,10/26/2018,07:26:00,502
25,11,10/26/2018,22:26:00,10/27/2018,06:40:00,494
25,12,10/27/2018,22:58:00,10/28/2018,07:38:00,520
25,13,10/28/2018,23:26:00,10/29/2018,08:42:00,556
25,14,10/30/2018,22:57:00,10/31/2018,06:07:00,430
25,15,10/31/2018,21:36:00,11/1/2018,07:59:00,623
25,16,11/1/2018,23:19:00,11/2/2018,08:36:00,557
25,17,11/2/2018,22:26:00,11/3/2018,07:04:00,518
25,18,11/3/2018,23:12:00,11/4/2018,10:52:00,700
25,19,11/4/2018,22:03:00,11/5/2018,06:52:00,529
25,20,11/5/2018,22:49:00,11/6/2018,05:55:00,426
25,21,11/6/2018,22:09:00,11/7/2018,08:09:00,600
25,22,11/8/2018,01:08:00,11/8/2018,07:24:00,376
25,23,11/8/2018,23:45:00,11/9/2018,07:32:00,467
25,24,11/9/2018,22:11:00,11/10/2018,07:19:00,548
25,25,11/10/2018,23:57:00,11/11/2018,06:52:00,415
25,26,11/11/2018,23:52:00,11/12/2018,07:05:00,433
25,27,11/13/2018,21:14:00,11/14/2018,02:46:00,332
25,28,11/14/2018,23:01:00,11/15/2018,06:08:00,427
25,29,11/15/2018,23:28:00,11/16/2018,07:30:00,482
25,30,11/16/2018,22:19:00,11/17/2018,05:31:00,432
25,31,11/18/2018,23:41:00,11/19/2018,06:11:00,390
25,32,11/19/2018,22:47:00,11/20/2018,07:21:00,514
25,33,11/20/2018,22:03:00,11/21/2018,07:09:00,546
25,34,11/21/2018,23:15:00,11/22/2018,07:25:00,490
25,35,11/22/2018,22:16:00,11/23/2018,07:29:00,553
25,36,11/23/2018,23:06:00,11/24/2018,08:58:00,592
25,37,11/25/2018,00:00:00,11/25/2018,05:48:00,348
